코드,품명,견적가격,물가자료,물가정보,품목순위
34390717011,연강용 피복아크 용접봉,"3,100.00","3,100.00","2,836.00",33/34
34390797011,스테인리스강용 피복아크 용접봉,"9,660.00","9,160.00","8,985.00",19/28
34390917002,용접기손료,77,77,77,20/30
36940227004,점검구,"9,000.00","15,000.00","15,000.00",6/34
41300247007,디퓨져,"24,050.00","34,000.00","40,000.00",14/32
41400227424,공조덕트(플렉시블),"6,800.00","8,000.00","8,000.00",10/21
41400227474,공조덕트(플렉시블),"14,238.00","16,750.00","16,750.00",15/34
41400227476,공조덕트(플렉시블),"17,085.00","20,100.00","20,100.00",14/29
41400237002,C크리트바,0,0,0,11/21
41400237010,캔버스,"7,500.00","8,500.00","15,000.00",23/33
41400247002,행거레일,"1,465.00","1,265.00","1,465.00",3/31
41400257001,행가로드,870,870,970,16/34
41400267001,보강바,"1,278.00","1,378.00","1,578.00",9/26
41400267002,직결비스,7,7,7,10/21
45100077093,사이폰관(압력계설치용),"3,460.00","3,760.00","4,360.00",1/27
45400077196,관보온재,"2,430.00","2,230.00","2,929.00",22/39
45400077197,관보온재,"2,559.00","2,459.00","3,229.00",20/20
45400077198,관보온재,"3,096.00","2,596.00","3,405.00",9/39
45400077199,관보온재,"2,987.00","2,787.00","3,607.00",7/22
45400077200,관보온재,"2,762.00","3,162.00","4,091.00",7/26
45400077201,관보온재,"3,058.00","3,658.00","4,733.00",25/40
45400077202,관보온재,"4,641.00","4,041.00","5,226.00",15/28
45400077217,관보온재,"5,554.00","6,454.00","8,340.00",1/27
45400077218,관보온재,"6,538.00","7,438.00","9,615.00",14/27
45400077391,관보온재,"1,593.00","2,033.00","2,236.00",3/26
45400077392,관보온재,"1,705.00","2,261.00","2,519.00",17/20
45400077393,관보온재,"1,903.00","2,462.00","2,740.00",14/28
45400077396,관보온재,"2,683.00","3,640.00","4,001.00",26/40
45400077424,관보온재,"5,181.00","6,478.00","7,634.00",3/31
45400077425,관보온재,"6,160.00","7,710.00","8,906.00",9/32
45400077426,관보온재,"8,136.00","10,181.00","11,357.00",29/38
45400077428,관보온재,"14,311.00","17,896.00","20,259.00",12/24
47100407003,일반배관용 스테인리스 강관,"2,696.00","2,930.00","3,440.00",31/34
47100407004,일반배관용 스테인리스 강관,"3,809.00","4,140.00","4,790.00",7/26
47100407005,일반배관용 스테인리스 강관,"4,655.00","5,060.00","5,850.00",6/30
47100417201,배관용 스테인리스 강관,"3,488.00","4,110.00","4,556.00",7/29
47100417247,배관용 스테인리스 강관,"17,238.00","19,130.00","21,194.00",27/38
47100417248,배관용 스테인리스 강관,"21,233.00","23,560.00","26,140.00",23/25
