대분류,품명,규격,단위,자재비,노무비,경비,비고,연도,현장,협력사,계약번호
삭제_단가없음, AHU-101A/B.AIR HANDLING UNIT ," 46,100CMH ", 대 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, AHU-102A/B.AIR HANDLING UNIT ," 43,375CMH ", 대 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, AHU-103.AIR HANDLING UNIT ," 26,300CMH ", 대 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, AHU-104.AIR HANDLING UNIT ," 46,100CMH ", 대 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, PAC-101 PAC.AIR-CON ," 10,800CMH 15KW ", 대 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, HB-101.HEPA FILTER UNIT ," 2,400CMH 300D ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, HB-102.HEPA FILTER UNIT ," 2,400CMH 300D ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, HB-103.HEPA FILTER UNIT ," 2,400CMH 300D ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, HB-104.HEPA FILTER UNIT ," 2,400CMH 300D ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, HB-105.HEPA FILTER UNIT ," 3,000CMH 300D ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, HB-106.HEPA FILTER UNIT ," 2,400CMH 300D ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, HB-201.HEPA FILTER UNIT ," 3,000CMH 300D ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, HB-202.HEPA FILTER UNIT ," 2,400CMH 300D ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, HB-301.HEPA FILTER UNIT ," 3,000CMH 300D ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, AS-101.AIR SHOWER ," 1,500*2,400*2,300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, AS-102.AIR SHOWER ," 2,900*2,400*2,300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, BFU-101다풍량FANFILTERUNIT ," 2,100CMH D300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, BFU-102다풍량FANFILTERUNIT ," 2,100CMH D300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, BFU-103다풍량FANFILTERUNIT ," 2,100CMH D300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, BFU-104다풍량FANFILTERUNIT ," 2,100CMH D300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, BFU-105다풍량FANFILTERUNIT ," 2,100CMH D300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, BFU-201다풍량FANFILTERUNIT ," 2,100CMH D300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, BFU-202다풍량FANFILTERUNIT ," 2,100CMH D300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, BFU-105다풍량FANFILTERUNIT ," 2,100CMH D300 ", 대 ,,,,,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, RD-101.RELIEF DAMPER , D50*340W*340H , 대 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, RD-102.RELIEF DAMPER , D50*340W*340H , 대 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, PB-101.PASS BOX ," 1,300*900*1,850 ", 대 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제, EF-101 ,, 대 ,,175000,, 장비지급 ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, 노무비 , 보통인부 , 인 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, 노무비 , 덕트공 , 인 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, 노무비 , 기계설비공 , 인 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
삭제_단가없음, 공구손료 , 노무비의 2% , 식 ,,,,  ,2019,뷰웍스,환승공조,2019-5-0157
덕트, 각형덕트제작및설치 , (0.5T) , M2 ,14650,14360,,56941310010,2019,뷰웍스,환승공조,2019-5-0157
덕트, 각형덕트제작및설치 , (0.6T) , M2 ,15309,15036,,56941310020,2019,뷰웍스,환승공조,2019-5-0157
덕트, 각형덕트제작및설치 , (0.8T) , M2 ,16747,16312,,56941310030,2019,뷰웍스,환승공조,2019-5-0157
덕트, 각형덕트제작및설치 , (1.0T) , M2 ,17535,17167,,56941310040,2019,뷰웍스,환승공조,2019-5-0157
덕트, 각형덕트제작및설치 , (1.2T) , M2 ,18960,18230,,56941310050,2019,뷰웍스,환승공조,2019-5-0157
덕트_보온, 아티론덕트보온 , 25T , M2 ,10600,7500,,56940790640,2019,뷰웍스,환승공조,2019-5-0157
덕트_보온, 아티론덕트보온 , 50T(칼라함석) , M2 ,30744,38500,,56940790445,2019,뷰웍스,환승공조,2019-5-0157
